doc_id,type,extension,pages,sheets,language,requires_ocr,dpi,noise,has_geo_headers
Convolution_Polarity,images,jpg,,,unknown,True,168.0,109.36509587533558,
defs_ref_data,images,jpg,,,unknown,True,96.0,47.61383510240768,
Example-of-a-near-seafloor-structure,images,jpg,,,unknown,True,96.0,60.754689004663746,
Example-of-a-regional-seismic-line-from-the-eastern-Gulf-of-Mexico,images,jpg,,,unknown,True,96.0,47.359029235757745,
Facies-of-deepwater-depositional-systems-Shoup,images,jpg,,,unknown,True,96.0,61.15689268845574,
Geophysics_cheatsheet,images,png,,,unknown,True,150.01239999999999,47.810252047046916,
Integrated stratigraphic column of the Yingshan area,images,jpg,,,unknown,True,96.0,47.83913331776063,
Integrated workflow for high-resolution 3D seismic processing and quantitative interpretation,images,jpg,,,unknown,True,96.0,62.68297383434515,
Northern-Gulf-of-Mexico-Basin-source-intervals-ages-hydrocarbon-families-and-summary,images,jpg,,,unknown,True,555.0,65.64056501489723,
NW-SE-time-migrated-seismic-line-showing-extensional-basins-developed-atop-the-eastern,images,jpg,,,unknown,True,96.0,67.19514522765063,
Postack - Seismic inversion (post-stacking vs pre-stacking),images,jpg,,,unknown,True,96.0,49.096490450780564,
Prestack - Seismic inversion (post-stacking vs pre-stacking),images,jpg,,,unknown,True,96.0,48.79148665117458,
Regional-seismic-profile-showing-rift-structure-and-prerift-synrift-and-postrift,images,jpg,,,unknown,True,96.0,89.80991448021322,
Regional-seismic-sections-across-the-northern-North-Sea-rift-from-north-to-south-See,images,jpg,,,unknown,True,96.0,39.394599389981394,
Representative-E-W-seismic-line-through-the-salt-minibasins-and-salt-diapirs,images,jpg,,,unknown,True,96.0,52.60457091679014,
SE-NW-seismic-section,images,jpg,,,unknown,True,96.0,42.563180706281656,
SEG_EURO_Polarity,images,jpg,,,unknown,True,96.0,48.602765019580964,
Seismic inversion (post-stacking vs pre-stacking),images,jpg,,,unknown,True,96.0,34.700663913919094,
seismic polarity,images,png,,,unknown,True,95.9866,60.750838087914616,
Seismic-Cross-Section-over-the-Mid-North-Sea-High-from-the-Anglo-Dutch-Basin,images,jpg,,,unknown,True,96.0,69.525436010013,
Series-of-seismic-reflection-profiles-showing-the-differences-in-rift-geometries-and-rift,images,jpg,,,unknown,True,96.0,65.56690982624134,
The-poststack-inversion-workflow-was-used-in-this-study-in-which-three-key-components,images,jpg,,,unknown,True,96.0,52.97339697346123,
vertical-and-horizontal-stratigraphic-compartmentalization-and-baffling-by-reservoi,images,jpg,,,unknown,True,96.0,48.386247696346594,
Workflow-for-seismic-interpretation,images,jpg,,,unknown,True,96.0,54.334440550571365,
Basic elements of a reservoir characterization study,txt,txt,,,en,False,,,True
Geophysics,txt,txt,,,en,False,,,True
Geostatistical reservoir modeling,txt,txt,,,en,False,,,True
Geostatistics,txt,txt,,,en,False,,,True
Predicting rock properties,txt,txt,,,en,False,,,True
Reservoir geophysics overview,txt,txt,,,en,False,,,True
Reservoir simulation applications,txt,txt,,,en,False,,,True
Seismic attributes for reservoir studies,txt,txt,,,en,False,,,True
Seismic attributes,txt,txt,,,en,False,,,True
Seismic imaging and inversion,txt,txt,,,en,False,,,True
Seismic interpretation,txt,txt,,,en,False,,,True
Seismic time-lapse reservoir monitoring,txt,txt,,,en,False,,,True
WA1,txt,txt,,,en,False,,,True
