doc_id,extension,type,acoustic_impedance_gt,acquisition_gt,allocated_rock_gt,age_gt,amplitude_gt,area_gt,attribute_gt,basin_gt,biostrat_gt,bottom_age_gt,complex_trace_gt,contacts_gt,convention_gt,country_gt,dataset_gt,date_gt,density_gt,depocentre_gt,depth_gt,DHI_gt,discontinuity_gt,domain_gt,dynamic_level_gt,elastic_attributes_gt,environment_gt,erosion_gt,facies_gt,fault_gt,feature_gt,field_gt,filter_gt,formation_gt,frequency_gt,gas_volume_gt,geomorph_gt,grain_size_gt,hilbert_gt,horizon_gt,instantaneous_gt,interference_gt,interpretation_gt,isochron_gt,isopach_gt,lab_measurement_gt,lithofacies_gt,lithology_gt,liquid_volume_gt,log_description_gt,log_type_gt,log_code_gt,measurement_gt,mineral_gt,ml_gt,model_gt,msl_depth_gt,oil_type_gt,oil_volume_gt,operation_gt,operator_gt,phase_gt,play_gt,polarity_gt,pore_types_gt,porosity_gt,prediction_gt,processing_gt,producing_zone_gt,production_gt,progradation_gt,qc_gt,region_gt,res_no_gt,reservoir_number_gt,reservoir_pressure_gt,reservoirs_gt,resistivity_gt,rock_property_gt,rock_type_gt,salinity_gt,sampling_gt,sample_numeric_gt,saturation_gt,sea_level_gt,sediment_gt,sediment_type_gt,seismic_attributes_gt,seismic_model_gt,signal_gt,source_area_gt,source_depth_gt,source_rock_gt,stratigraphy_gt,structure_gt,sulfur_gt,survey_gt,technology_gt,tectonic_gt,thickness_gt,tie_gt,top_age_gt,trend_gt,TWT_ms_gt,uncertainty_gt,uplift_gt,vclay_gt,velocity_gt,water_depth_gt,water_volume_gt,water_saturation_gt,watercut_gt,wavelet_gt,well_id_gt,well_type_gt,working_hours_gt,year_gt
Interpretation of incised valleys using new 3-D seismic techniques,.pdf,pdf_text,,3D_surveys_1993_1994_1996;merged_136mi2_survey,,,amplitude_variability;discontinuous_reflections,,,Anadarko_Basin,,,,,,USA,,,,,,,,time_domain,,,Pennsylvanian_stratigraphy;shallow_marine;valley_fill,,Stage_III_sand;Stage_V_shale;marine_parasequences,basement_involved_faults;valley_edge_faults;vertical_faults,bounding_faults;incised_valley;slump_blocks;valley_edges;valley_fill,,,Inola_Lime;Lower_Skinner_Shale;Novi_Lime;Pink_Lime;Red_Fork_Formation,20-50Hz;36Hz;dominant_50Hz;max_80Hz,,differential_compaction;valley_incision;valley_slumping,,,,,,seismic_interpretation;stage_identification;valley_mapping,Red_Fork_isochron_thin,Red_Fork_isopach_thin,,marine_clastics;shale_fill;valley_fill_sands,,,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma;US_midcontinent,,,,,,,,,,,,,,,,2D_seismic;3D_seismic;coherency;isochron_mapping;isopach_mapping;spectral_decomposition,amplitude_slice_36Hz;coherency_slice;seismic_reflection,,10000ft,,,Stage_II_valley;Stage_III_valley;Stage_IV_valley;Stage_V_valley;slump_faults,,,DFT;coherency_cube;flattened_horizon_processing;spectral_decomposition,,Red_Fork_interval_50ms_300ft;valley_width_0.5-1mile,,,,,,,,,,,,,,,,,
Interpretational applications of spectral decomposition in reservoir characterization,.pdf,pdf_text,,3D_seismic_surveys,,,balanced_spectrum;interference_pattern;spectral_notches;wavelet_overprint,,,Gulf_of_Mexico,,,,,,USA,,,,,,,,frequency_domain;time_domain,,,Pleistocene_equivalent;deltaic_environment,,channel_A;channel_B;deltaic_facies,spectral_phase_fault_detection,channel_sands;fault_systems;geologic_discontinuities;thin_bed_variability,,,,10Hz;16Hz;26Hz;8-10-40-50Hz_Ormsby_filter,,Mississippi_River_delta_equivalent;Pleistocene_delta;deltaic_channels,,,,,,discontinuity_detection;frequency_slice_interpretation;thin_bed_mapping,,,,channel_sands;deltaic_facies,,,,,,,,,,,,,,,,,,,,,,,,,,Gulf_of_Mexico,,,,,,,,,,,,,,,,DFT_frequency_domain;discrete_frequency_energy_cubes;long_window_spectrum;short_window_spectrum;spectral_decomposition;thin_bed_tuning;time_frequency_4D_cube,amplitude_spectrum;frequency_slice;phase_slice;phase_spectrum;thin_bed_response;tuned_reflection,,,,,fault_discontinuities;thin_bed_interference_patterns,,,DFT;Ormsby_filter;frequency_energy_cube;phase_instability_detection;running_window_spectral_analysis;tuning_cube,,wedge_thickness_0-50ms,,,,,,,,,,,,,,,,,
Northern-Gulf-of-Mexico-Basin-source-intervals-ages-hydrocarbon-families-and-summary,.jpg,images,,,,Cretaceous;Eocene;Jurassic;Oxfordian;Tithonian;Triassic;Turonian,,,,Northern_Gulf_of_Mexico;South_Florida_Basin,,,,,,USA,,,,,,,,,,,calcareous;carbonate;lacustrine;marine;terrestrial,,,,,,,,,,,,,,,,,,,,,black_shale,,,,,,,,,,Calcareous_Undifferentiated;Carbonate_Elevated_Salinity;Marine_High_Sulfur;Marine_Low_Sulfur;Marine_Moderate_Sulfur;Marine_Moderately_High_Sulfur;Tertiary_Intermediate;Tertiary_Marine;Tertiary_Terrestrial;Triassic_Lacustrine,,,,,,,,,,,,,,,Louisiana;Mississippi;Offshore_Eastern_Gulf;Offshore_Texas;South_Central_Louisiana;Texas,,,,,,,,elevated_salinity,,,,,,,,,,,,Lower_Cretaceous;Lower_Tertiary;Triassic;Undifferentiated_Cretaceous;Upper_Cretaceous;Upper_Jurassic;Uppermost_Jurassic,,,high_sulfur;low_sulfur;moderate_sulfur;moderately_high_sulfur,,,,,direct_tie;inferred_tie;postmature_tie,,,,,,,,,,,,,,,,
NPD Oligocene to Pliocene well and borehole data,.pdf,pdf_scans,,,,Early_Pliocene;Eocene_Oligocene_transition;Late_Pliocene;Middle_Miocene;Miocene;Oligocene;Upper_Pliocene,,,,Barents_Sea;Forlandssundet_Basin;North_German_Basin;North_Sea;Norwegian_Sea;Vestbakken_Volcanic_Province,Sr_isotope_analysis;dinoflagellate_cyst_zonation;foraminiferal_biostratigraphy,,,,,Denmark;Norway,,,,North_Sea_Basin;Northern_Nordland_Depocentre;Norwegian_Danish_Basin;West_Norway_Local_Depocentres,,,,,,,biogenic_deposits;deltaic;fine_grained_distal;shallow_marine;volcanic_province,Barents_Sea_erosion;Scandes_erosion_2.7Ma,,,,,,,,,,,,,,,biostratigraphic_redating;regional_stratigraphic_synthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frigg_delta_progradation;north_to_south_progradation,,Denmark;Jutland;Norway;Ranafjorden;Svalbard;Vesterålen,,,,,,,,,conventional_cores;drill_cuttings;low_density_sampling;sidewall_cores,,,Late_Pliocene_relative_rise;Middle_Miocene_relative_fall,,biogenic_sediments;fine_grained_sediments;marine_clay;sandy_sediments,,,,Northern_Scandes;Scotland_Shetland;Southern_Scandes,,,Made_Group;Oligocene_to_Pliocene_stratigraphy;Ribe_Group;post_Eocene_succession,basin_structures;dome_structures,,,ODP_DSDP_calibration;high_resolution_seismic,Sorgenfrei_Tornquist_Zone_reactivation;basin_structures;compressional_domes;strike_slip_regime;uplift_Scandes,,,,,,,North_Scandes_uplift;South_Scandes_uplift,,,,,,,,,,,
Oil well operation parameters (2013),.xlsx,tables,,,,,,,,,,,,,,,,01.01.2013;05.01.2013;10.01.2013;20.01.2013;01.02.2013,,,,,,,1819;1781;1790;1764;1939,,,,,,,,,,,13055;11768;11432;12503;12671,,,,,,,,,,,,,70;68;69;72;75,,,,,,,,,,49;44;43;47;48,,,,,,,,,,,,,,,,,214;213;212;211;210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21;26;25;23;29,,29;36;37;32;40,,807,,24,
Predicting rock properties,.txt,txt,,,,,,,,,,,,,,,,,,,,,,,,,reservoir_rocks;seal_rocks;sedimentary_column;source_rocks,,,,,,,,,,,,,,,,property_parameter_relationships;rock_physics_analysis,,,controlled_conditions;core_analysis;hard_data;sidewall_plugs,,,,,,,,mineral_properties_list_Clark,,Archie_law;forward_modeling;ideal_porous_media;porous_rock_models,,,,,,,,,,,empirical_relationships;frontier_basin_prediction;trend_data,,,,,,,,,,,,acoustic_velocity;density;gamma_ray_response;permeability;porosity,claystone;diatomite;dolomite;evaporite;limestone;sandstone;shale,,,,,,,,,,,,,,,,,,,,,,,,,error_propagation;imperfect_solutions;statistical_bounds,,,,,,,,,,,,
Public Dataset for Machine Learning in Seismic Interpretation,.pdf,pdf_text,,bin_25m;poststack_3D;sampling_4ms;time_migrated;time_range_1848ms,,,,,,Central_Graben_Basin;North_Sea,,,,,,Netherlands,190k_labeled_images;3204_images;94400_tiles_crosslines;94720_tiles_inlines,,,,,,,time_domain,,,Mesozoic_rift;Triassic_rift;chalk_carbonate;deltaic;evaporitic;neritic,,contorned_mound;high_amplitude;homogeneous;low_amplitude;noisy;polygonal_faulted;prograding_sigmoidal;semi_continuous;stratified;subparallel,,,,,,,,,,,H1;H2;H3;H4;H5;H6;H7;H8;H9,,,,,,,,argillaceous;chalk_carbonates;claystones;deltaic_sands;evaporites;sandstones,,,,,,,classification;deep_learning;semantic_segmentation;texture_analysis;transfer_learning,,,,,,,,,,,,,contrast_stretching;dataset_balancing;rescaling_0_255;tile_generation,,,,,Dutch_Central_Graben;Netherlands_offshore,,,,,,,,,,,,,,,,,amplitude;noise;seismic_reflection;texture,,,,Altena;Carboniferous;Chalk;Germanic_Trias;Niedersachsen;North_Sea_Supergroup;Permian_Rotliegend;Rijnland;Schieland;Scruff;Zechstein,polygonal_faults;single_fault_interpreted,,384km2;651_inlines;951_crosslines;F3_Netherlands,CNN;OpendTect;U_Net;encoder_decoder;feature_extractor,Kimmeridgian_extension;Triassic_rifting;halokinesis;thermal_subsidence;triple_rift_system,Altena_1600m;Carboniferous_4000m;Chalk_1800m;Jurassic_1000m;Rijnland_1000m;Rotliegend_900m;Trias_1800m;Zechstein_1300m,,,,,,,,,,,,,,,,,
Reservoir rock allocated to each producing zone,.xlsx,tables,,,Tulare Formation;Kern River Formation;San Joaquin Formation,Pliocene to Pleistocene;late Miocene to early Pleistocene;early to late Pliocene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amnicola (gas or oil);Tulare;Kern River Formation;1200 Sand;San Joaquin,,,,,1;2;3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seismic attributes,.txt,txt,,,,,instantaneous_amplitude_vector;reflection_amplitude,,amplitude;frequency;instantaneous_amplitude;instantaneous_frequency;instantaneous_phase;phase,,,,complex_trace_z;helical_spiral_trace;imaginary_trace_y;real_trace_x,,,,,,,,,,stratigraphic_discontinuity;structural_discontinuity,time_domain,,,,,,,,,,,frequency_anomalies;high_positive_frequency;instantaneous_frequency;negative_frequency,,,,analytic_signal;hilbert_transform,,instantaneous_amplitude;instantaneous_frequency;instantaneous_phase,destructive_interference;distorted_wavelets;wavelet_interference,attribute_analysis;discontinuity_detection;thin_bed_detection,,,,,,,,,,,,,,,,,,,phase_angle;phase_rotation_360;phase_wraparound,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex_trace;seismic_reflection;wavelet,,,,,,,,complex_trace_analysis;hilbert_transform_algorithms,,,,,,,,,,,,,,,,,,,
Seismic_Imaging_and_Interpretation_Techniques,.doc,doc_Word,,,,,amplitude_attenuation;amplitude_friendly_balancing;maximum_spectral_amplitude,,amplitude;dominant_amplitude;dominant_frequency;frequency;low_frequency_shadow;phase;reflectivity_dispersion;voice_components,,,,,,,,,,,,,Biot_medium_reflection;fluid_saturated_anomalies;low_frequency_shadow,,frequency_domain;time_domain;time_frequency_domain,,,hydrocarbon_detection;reservoir_characterization;stratigraphic_delamination,,,,Biot_reflection;bed_thickness_variation;erosional_unconformity;geologic_discontinuities;offlap;onlap;transition_zone_reflection,,,,frequency_anomalies;frequency_decrease;high_frequency_attenuation;low_frequency(<20Hz);phase_distortion,,,,,,,composite_tuned_reflection;destructive_interference;wavelet_interference,DHI_detection;frequency_decomposition;machine_learning_interpretation;pattern_recognition;seismic_geomorphology;seismic_stratigraphy;thin_bed_estimation,,,,,evaporites;porous_media;transition_zone_material,,,,,,,,,,,,,,phase_components;phase_distortion;spectral_phase,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT;DFT;Enhanced_Spectral_Processing;GMT;ISA;Maximum_Entropy_Method;MPD;STFT;S_transform;fractional_fourier_transform;fractional_wavelet_transform;spectral_decomposition,frequency_slices;reflectivity_dispersion;seismic_reflection;time_frequency_analysis;wavelet,,,,,complex_faults;fault_systems;porous_media_interface;vertical_transition_zone,,,DSP_fractional_scaling;bootstrap_resampling;common_frequency_cubes;discrete_frequency_energy_cubes;multi_scale_morphology;seismic_UNIX_SUCCWT;wavelet_dictionary,,,,,,,,,,,,,,,,,,,
W1 Well Logs,.xlsx,tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caliper;Bit Size;Laterolog 8;Induction Log Medium;Induction Log Deep;Bulk Density;Neutron Porosity;Sonic Transit Time;Mud Weight;Depth;Vclay from GR;Vclay from Neutron–Density;Vclay from Resistivity;,,CALI;BitSize;LL8;ILM;ILD;RHOB;NPHI;DT;MudWgt;DEPT;VCLGR;VCLND;VCLRT;VCLSP;VCL;PHISw;PHISwshc;PHISrhg;PHISrhgshc;PHID;PHIDshc;PHIN;PHINshc;PHIxND;PHIE;SWa;BVW;matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.598;8.6651;2960;0.690505;0.23408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA1,.txt,txt,,,,,,,,,,,,,,,,,RHOB,,DEPTH,,,,,,,,,,,,,,,,,,,,,,basic_log_interpretation;density_analysis;porosity_estimation;resistivity_analysis,,,,,,,,BitSize;CALI;DEPTH;DT;GR;ILD;ILM;LL8;Mud_Weight;NPHI;RHOB;SP,,,,,,,,,,,,,,,NPHI,,,,,,BitSize;CALI,,,,,,ILD;ILM;LL8,,,,,,,,,,,,,,,,,,,,well_logging;wireline_logs,,,,,,,,,,,,,,,,,,,
